,percent_vu,vu_se,percent_vu_unw,vu_se_unw,sample_size,country,iso_code,gid_0,survey_date
0,0.6672589999999999,0.033884,0.66791,0.028769,268,Sudan,SDN,SDN,20201221
1,0.623804,0.042616,0.6540279999999999,0.032747,211,Sudan,SDN,SDN,20201222
2,0.618186,0.042616,0.6320749999999999,0.033120000000000004,212,Sudan,SDN,SDN,20201223
3,0.6522800000000001,0.042852,0.672414,0.030813,232,Sudan,SDN,SDN,20201224
4,0.5952339999999999,0.046696999999999995,0.615063,0.031474,239,Sudan,SDN,SDN,20201225
5,0.612363,0.041122,0.598291,0.032048,234,Sudan,SDN,SDN,20201226
6,0.5699259999999999,0.044081999999999996,0.650407,0.030402,246,Sudan,SDN,SDN,20201227
7,0.571414,0.043061999999999996,0.6508619999999999,0.031297,232,Sudan,SDN,SDN,20201228
8,0.632344,0.038963,0.639004,0.030938,241,Sudan,SDN,SDN,20201229
9,0.610173,0.045091,0.610329,0.033415,213,Sudan,SDN,SDN,20201230
10,0.627316,0.044273,0.600985,0.034370000000000005,203,Sudan,SDN,SDN,20201231
11,0.600143,0.045304,0.6497459999999999,0.033988,197,Sudan,SDN,SDN,20210101
12,0.613115,0.039497,0.6345379999999999,0.030518,249,Sudan,SDN,SDN,20210102
13,0.654405,0.04,0.6679689999999999,0.029434,256,Sudan,SDN,SDN,20210103
14,0.627312,0.042261,0.6391300000000001,0.031667,230,Sudan,SDN,SDN,20210104
15,0.639783,0.043441,0.682927,0.0325,205,Sudan,SDN,SDN,20210105
16,0.643519,0.041256,0.6533329999999999,0.031727,225,Sudan,SDN,SDN,20210106
17,0.624265,0.043102,0.625571,0.032704,219,Sudan,SDN,SDN,20210107
18,0.619451,0.047986999999999995,0.665179,0.031532,224,Sudan,SDN,SDN,20210108
19,0.6817829999999999,0.042096999999999996,0.691176,0.032347,204,Sudan,SDN,SDN,20210109
20,0.6274959999999999,0.046141999999999996,0.671053,0.031115,228,Sudan,SDN,SDN,20210110
