,pct_vaccinated_appointment_or_accept,vaccinated_appointment_or_accept_se,pct_vaccinated_appointment_or_accept_unw,vaccinated_appointment_or_accept_se_unw,sample_size,country,iso_code,gid_0,survey_date
0,0.772442,0.037494,0.819495,0.023108999999999998,277,Tunisia,TUN,TUN,20210520
1,0.807226,0.036571,0.8576509999999999,0.020843999999999998,281,Tunisia,TUN,TUN,20210521
2,0.801716,0.033794,0.8448279999999999,0.021261,290,Tunisia,TUN,TUN,20210522
3,0.803295,0.033989,0.8440679999999999,0.021123,295,Tunisia,TUN,TUN,20210523
4,0.814753,0.032428,0.8320609999999999,0.023094,262,Tunisia,TUN,TUN,20210524
5,0.806618,0.039011,0.83557,0.021471999999999998,298,Tunisia,TUN,TUN,20210525
6,0.849,0.033637,0.873362,0.021977,229,Tunisia,TUN,TUN,20210526
7,0.803551,0.039098,0.865169,0.020902,267,Tunisia,TUN,TUN,20210527
8,0.795377,0.041305999999999995,0.8647539999999999,0.021893,244,Tunisia,TUN,TUN,20210528
9,0.831025,0.034255,0.8634689999999999,0.020857,271,Tunisia,TUN,TUN,20210529
10,0.845417,0.043517,0.891566,0.024132999999999998,166,Tunisia,TUN,TUN,20210530
11,0.8270409999999999,0.033456,0.881919,0.019603,271,Tunisia,TUN,TUN,20210531
12,0.884498,0.024595,0.8983049999999999,0.017596999999999998,295,Tunisia,TUN,TUN,20210601
13,0.859093,0.030264,0.8888889999999999,0.018236,297,Tunisia,TUN,TUN,20210602
14,0.8345509999999999,0.036798,0.890411,0.01828,292,Tunisia,TUN,TUN,20210603
15,0.884262,0.028605,0.897527,0.018028,283,Tunisia,TUN,TUN,20210604
16,0.8969309999999999,0.024534,0.890845,0.018504,284,Tunisia,TUN,TUN,20210605
17,0.8308829999999999,0.037605,0.885714,0.019014,280,Tunisia,TUN,TUN,20210606
18,0.8512989999999999,0.027492,0.870968,0.01904,310,Tunisia,TUN,TUN,20210607
19,0.7842279999999999,0.037464,0.880645,0.018414,310,Tunisia,TUN,TUN,20210608
20,0.828128,0.036154,0.876289,0.019301,291,Tunisia,TUN,TUN,20210609
